date_time,DJIA_Price,DJIA_Open,DJIA_High,DJIA_Low,DJIA_Vol.,DJIA_Change %
1999-08-01,10829.28,10654.83,11365.93,10549.08,1820000000.0,1.63
1999-07-01,10655.15,10966.05,11252.27,10647.86,1670000000.0,-2.88
1999-06-01,10970.81,10561.01,11003.41,10409.14,1770000000.0,3.89
1999-05-03,10559.74,10789.04,11130.67,10434.26,95770000.0,0.0
1999-05-01,10559.75,10789.04,11130.67,10434.26,1840000000.0,-2.13
1999-04-01,10789.04,9786.44,10961.71,9765.63,2100000000.0,10.25
1999-03-01,9786.16,9307.39,10085.31,9211.23,1950000000.0,5.15
1999-02-01,9306.57,9359.6,9611.33,9099.04,1550000000.0,-0.56
1999-01-04,9358.83,9184.01,9647.96,9063.26,96450000.0,0.0
1999-01-01,9358.82,9184.01,9647.96,9063.26,1750000000.0,1.93
1998-12-01,9181.43,9116.55,9334.88,8676.03,1490000000.0,0.71
1998-11-02,9116.55,8595.7,9380.2,8595.7,73060000.0,0.0
1998-11-01,9116.55,8595.7,9380.2,8595.7,1390000000.0,6.1
1998-10-01,8592.11,7841.33,8659.81,7467.49,1920000000.0,9.56
1998-09-01,7842.62,7545.76,8182.47,7400.3,1900000000.0,4.03
1998-08-03,7539.07,8883.29,8886.12,7539.07,83790000.0,0.0
1998-08-01,7539.06,8883.29,8886.12,7539.07,1640000000.0,-15.13
1998-07-01,8883.29,8958.99,9367.84,8816.09,1500000000.0,-0.77
1998-06-01,8952.01,8900.95,9104.72,8569.88,1290000000.0,0.58
1998-05-01,8899.95,9066.61,9261.91,8788.1,1070000000.0,-1.8
1998-04-01,9063.36,8801.56,9213.33,8748.74,1390000000.0,2.99
1998-03-02,8799.81,8544.47,8959.24,8405.72,56980000.0,0.0
1998-03-01,8799.8,8544.47,8959.24,8405.72,1190000000.0,2.97
1998-02-02,8545.72,7909.99,8566.89,7909.99,774500.0,0.0
1998-02-01,8545.71,7909.99,8566.89,7909.99,1030000000.0,8.08
1998-01-02,7906.5,7910.2,8035.54,7443.41,68900000.0,0.0
1998-01-01,7906.5,7910.49,8035.54,7443.41,1320000000.0,-0.02
1997-12-01,7908.24,7825.12,8166.29,7576.93,1160000000.0,1.09
1997-11-03,7823.1,7445.8,7881.07,7349.99,57280000.0,0.0
1997-11-01,7823.12,7443.07,7881.07,7349.99,1070000000.0,5.12
1997-10-01,7442.08,7992.17,8184.7,6971.32,1610000000.0,-6.33
1997-09-02,7945.3,7631.7,8035.63,7580.85,60110000.0,0.0
1997-09-01,7945.25,7667.25,8035.63,7580.85,1220000000.0,4.24
1997-08-01,7622.42,8213.78,8299.49,7606.86,1120000000.0,-7.3
1997-07-01,8222.61,7692.47,8282.77,7667.36,1270000000.0,7.17
1997-06-02,7672.8,7331.0,7834.06,7253.78,54080000.0,0.0
1997-06-01,7672.79,7351.65,7834.06,7253.78,1090000000.0,4.66
1997-05-01,7331.04,6980.09,7394.95,6913.06,1050000000.0,4.59
1997-04-01,7008.99,6562.33,7057.55,6356.37,1100000000.0,6.46
1997-03-03,6583.48,6874.3,7112.1,6561.2,51280000.0,0.0
1997-03-01,6583.47,6836.56,7112.1,6561.2,949170000.0,-4.28
